Id;PostId;UserId;BountyAmount;VoteTypeId;CreationDate
783;255;NULL;NULL;3;2008-08-02 00:00:00.000
784;275;NULL;NULL;2;2008-08-02 00:00:00.000
785;239;NULL;NULL;2;2008-08-02 00:00:00.000
786;175;NULL;NULL;3;2008-08-02 00:00:00.000
787;166;NULL;NULL;2;2008-08-02 00:00:00.000
788;299;NULL;NULL;2;2008-08-02 00:00:00.000
789;169;NULL;NULL;2;2008-08-02 00:00:00.000
790;305;NULL;NULL;2;2008-08-02 00:00:00.000
791;319;NULL;NULL;2;2008-08-02 00:00:00.000
792;42;NULL;NULL;2;2008-08-02 00:00:00.000
793;298;NULL;NULL;2;2008-08-02 00:00:00.000
821;209;NULL;NULL;3;2008-08-02 00:00:00.000
823;355;NULL;NULL;3;2008-08-02 00:00:00.000
825;361;NULL;NULL;2;2008-08-02 00:00:00.000
829;388;NULL;NULL;3;2008-08-02 00:00:00.000
830;358;NULL;NULL;3;2008-08-02 00:00:00.000
831;387;NULL;NULL;3;2008-08-02 00:00:00.000
836;373;NULL;NULL;2;2008-08-02 00:00:00.000
910;372;NULL;NULL;2;2008-08-02 00:00:00.000
911;230;NULL;NULL;3;2008-08-02 00:00:00.000
912;232;NULL;NULL;3;2008-08-02 00:00:00.000
913;274;NULL;NULL;3;2008-08-02 00:00:00.000
914;380;NULL;NULL;2;2008-08-02 00:00:00.000
915;303;NULL;NULL;3;2008-08-02 00:00:00.000
916;58;NULL;NULL;2;2008-08-02 00:00:00.000
917;56;NULL;NULL;2;2008-08-02 00:00:00.000
918;387;NULL;NULL;2;2008-08-02 00:00:00.000
919;343;NULL;NULL;2;2008-08-02 00:00:00.000
920;313;NULL;NULL;2;2008-08-02 00:00:00.000
921;351;NULL;NULL;3;2008-08-02 00:00:00.000
924;387;NULL;NULL;2;2008-08-02 00:00:00.000
925;374;NULL;NULL;2;2008-08-02 00:00:00.000
928;387;NULL;NULL;2;2008-08-02 00:00:00.000
929;391;NULL;NULL;2;2008-08-02 00:00:00.000
930;374;NULL;NULL;2;2008-08-02 00:00:00.000
931;396;NULL;NULL;2;2008-08-02 00:00:00.000
932;274;NULL;NULL;2;2008-08-02 00:00:00.000
933;395;NULL;NULL;2;2008-08-02 00:00:00.000
934;208;NULL;NULL;2;2008-08-02 00:00:00.000
935;216;NULL;NULL;2;2008-08-02 00:00:00.000
936;395;NULL;NULL;2;2008-08-02 00:00:00.000
937;399;NULL;NULL;2;2008-08-02 00:00:00.000
941;388;NULL;NULL;2;2008-08-02 00:00:00.000
942;362;NULL;NULL;1;2008-08-02 00:00:00.000
945;342;NULL;NULL;1;2008-08-02 00:00:00.000
947;205;NULL;NULL;2;2008-08-02 00:00:00.000
948;402;NULL;NULL;2;2008-08-02 00:00:00.000
949;378;NULL;NULL;2;2008-08-02 00:00:00.000
950;229;NULL;NULL;2;2008-08-02 00:00:00.000
957;56;NULL;NULL;3;2008-08-02 00:00:00.000
959;58;NULL;NULL;3;2008-08-02 00:00:00.000
960;403;NULL;NULL;2;2008-08-02 00:00:00.000
961;409;NULL;NULL;2;2008-08-02 00:00:00.000
963;398;NULL;NULL;2;2008-08-02 00:00:00.000
